Title,Rating1,Rating2,Year,imdb
The Graduate,6,10,1967,tt0061722
Casablanca,6,10,1942,tt0034583
Elmer Gantry,6,10,1960,tt0053793
Dr Strangelove,6,10,1964,tt0057012
Naked,6,10,1993,tt0107653
Harakiri,6,10,1962,tt0056058
Rope,6,10,1948,tt0040746
Fargo,6,10,1996,tt0116282
4 Months 3 Weeks 2 Days,6,10,2007,tt1032846
The Heiress,6,10,1949,tt0041452
Ordet,6,10,1955,tt0048452
Rocco and His Brothers,6,10,1960,tt0054248
The Little Foxes,6,10,1941,tt0033836
My Night At Maud's,6,10,1969,tt0064612
The Lord of the Rings Fellowship of the Ring,6,10,2001,tt0120737
Five Easy Pieces,4,10,1970,tt0065724
Fat City,5,10,1972,tt0068575
Pulp Fiction,6,10,1994,tt0110912
Scarface,6,10,1983,tt0086250
The Matrix,6,10,1999,tt0133093
Taxi Driver,6,10,1976,tt0075314
Buffalo '66,6,10,1998,tt0118789
El Topo,6,9,1970,tt0067866
Lolita,6,9,1962,tt0056193
The Human Condition 3: A Solider's Prayer,6,9,1961,tt0055233
The Human Condition 1: No Greater love,6,9,1959,tt0053114
The Petrified Forest,6,9,1936,tt0028096
Coherence,5,9,2013,tt2866360
Back to the Future,5,9,1985,tt0088763
Blade Runner,5,9,1982,tt0083658
The Karate Kid,5,9,1984,tt0087538
The Handmaiden,6,9,2016,tt4016934
Gold Rush,5,9,1925,tt0015864
True Romance,5,9,1993,tt0108399
Battle of the Algiers,5,9,1966,tt0058946
Adam's Apples,5,9,2005,tt0418455
Gone With the Wind,6,9,1939,tt0031381
The Last Picture Show,6,9,1971,tt0067328
Paris Texas,5,9,1984,tt0087884
Belle de Jour,5,9,1967,tt0061395
Planet of the Apes,5,9,1968,tt0063442
Make Way for Tomorrow,5,9,1937,tt0029192
The Devils,4,9,1971,tt0066993
The Unknown,5,9,1927,tt0018528
Double Idemnity ,5,9,1944,tt0036775
The Maltese Falcon,5,9,1941,tt0033870
The Great Dictator,5,9,1940,tt0032553
Woman In A Dressing Gown,4,9,1964,tt0051204
Dial M for Murder,5,9,1954,tt0046912
Brief Encounter,4,9,1945,tt0037558
One Flew Over the Cuckoo's Nest,5,9,1975,tt0073486
Psycho,5,9,1960,tt0054215
Fanny and Alexander,5,9,1982,tt0083922
Show Me Love,5,9,1998,tt0150662
Wise Blood,4,9,1979,tt0080140
American Psycho,5,9,2000,tt0144084
Rosemary's Baby,5,9,1968,tt0063522
The Phantom Carriage,5,9,1921,tt0012364
The Shining,5,9,1980,tt0081505
There Will be Blood,4,9,2007,tt0469494
Shaun of the Dead,5,9,2004,tt0365748
The Apartment,5,9,1960,tt0053604
The King of Comedy,5,9,1982,tt0085794
Black Cat White Cat,4,9,1998,tt0118843
In Bruges,6,9,2008,tt0780536
Zoolander,5,9,2001,tt0196229
3 Women,4,9,1977,tt0075612
Star Wars A New Hope,5,9,1977,tt0076759
